Index,Cantor Ternary Set,Sierpinski Carpet,Fudgeflake,Sierpinski Gasket,Twindragon
0,0.3333333333333333,0.3333333333333333,0.5000000000000001,0.5,0.5
1,0.0,0.0,-0.28867513459481287,0.0,-0.5
2,0.0,0.0,-0.3333333333333333,0.0,-0.35355339059327373
3,0.0,0.0,0.28867513459481287,0.0,0.5
4,0.3333333333333333,0.3333333333333333,0.5000000000000001,0.5,0.5
5,0.0,0.0,0.0,0.0,0.35355339059327373
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,1.0,1.0,1.0,1.0,1.0
9,0.3333333333333333,0.3333333333333333,0.5000000000000001,0.5,0.5
10,0.0,0.0,-0.28867513459481287,0.0,-0.5
11,0.6666666666666666,0.0,0.16666666666666666,0.5,0.35355339059327373
12,0.0,0.0,0.28867513459481287,0.0,0.5
13,0.3333333333333333,0.3333333333333333,0.5000000000000001,0.5,0.5
14,0.0,0.3333333333333333,0.28867513459481287,0.0,-0.35355339059327373
15,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0
17,1.0,1.0,1.0,1.0,1.0
18,,0.3333333333333333,0.5000000000000001,0.5,
19,,0.0,-0.28867513459481287,0.0,
20,,0.0,0.16666666666666666,0.25,
21,,0.0,0.28867513459481287,0.0,
22,,0.3333333333333333,0.5000000000000001,0.5,
23,,0.6666666666666666,-0.28867513459481287,0.4330127018922193,
24,,0.0,0.0,0.0,
25,,0.0,0.0,0.0,
26,,1.0,1.0,1.0,
27,,0.3333333333333333,,,
28,,0.0,,,
29,,0.3333333333333333,,,
30,,0.0,,,
31,,0.3333333333333333,,,
32,,0.0,,,
33,,0.0,,,
34,,0.0,,,
35,,1.0,,,
36,,0.3333333333333333,,,
37,,0.0,,,
38,,0.3333333333333333,,,
39,,0.0,,,
40,,0.3333333333333333,,,
41,,0.6666666666666666,,,
42,,0.0,,,
43,,0.0,,,
44,,1.0,,,
45,,0.3333333333333333,,,
46,,0.0,,,
47,,0.6666666666666666,,,
48,,0.0,,,
49,,0.3333333333333333,,,
50,,0.0,,,
51,,0.0,,,
52,,0.0,,,
53,,1.0,,,
54,,0.3333333333333333,,,
55,,0.0,,,
56,,0.6666666666666666,,,
57,,0.0,,,
58,,0.3333333333333333,,,
59,,0.3333333333333333,,,
60,,0.0,,,
61,,0.0,,,
62,,1.0,,,
63,,0.3333333333333333,,,
64,,0.0,,,
65,,0.6666666666666666,,,
66,,0.0,,,
67,,0.3333333333333333,,,
68,,0.6666666666666666,,,
69,,0.0,,,
70,,0.0,,,
71,,1.0,,,
